maxRunLength,codebook,numBits,numBitErrors
97,geometric_codebook.pickle,835,0
98,filep_01_1000_codebook.pickle,761,0
98,geometric_codebook.pickle,837,0
99,filep_01_1000_codebook.pickle,754,0
99,geometric_codebook.pickle,837,0
100,filep_01_1000_codebook.pickle,755,0
100,geometric_codebook.pickle,831,0
101,filep_01_1000_codebook.pickle,762,0
101,geometric_codebook.pickle,832,0
102,filep_01_1000_codebook.pickle,767,0
102,geometric_codebook.pickle,832,0
103,filep_01_1000_codebook.pickle,751,0
103,geometric_codebook.pickle,833,0
104,filep_01_1000_codebook.pickle,756,0
104,geometric_codebook.pickle,833,0
105,filep_01_1000_codebook.pickle,753,0
105,geometric_codebook.pickle,831,0
106,filep_01_1000_codebook.pickle,755,0
106,geometric_codebook.pickle,831,0
107,filep_01_1000_codebook.pickle,739,0
107,geometric_codebook.pickle,831,0
108,filep_01_1000_codebook.pickle,756,0
108,geometric_codebook.pickle,830,0
109,filep_01_1000_codebook.pickle,739,0
109,geometric_codebook.pickle,828,0
110,filep_01_1000_codebook.pickle,747,0
110,geometric_codebook.pickle,827,0
111,filep_01_1000_codebook.pickle,732,0
111,geometric_codebook.pickle,827,0
112,filep_01_1000_codebook.pickle,740,0
112,geometric_codebook.pickle,829,0
113,filep_01_1000_codebook.pickle,743,0
113,geometric_codebook.pickle,828,0
114,filep_01_1000_codebook.pickle,745,0
114,geometric_codebook.pickle,830,0
115,filep_01_1000_codebook.pickle,740,0
115,geometric_codebook.pickle,830,0
116,filep_01_1000_codebook.pickle,742,0
116,geometric_codebook.pickle,831,0
117,filep_01_1000_codebook.pickle,734,0
117,geometric_codebook.pickle,830,0
118,filep_01_1000_codebook.pickle,735,0
118,geometric_codebook.pickle,830,0
119,filep_01_1000_codebook.pickle,738,0
119,geometric_codebook.pickle,832,0
120,filep_01_1000_codebook.pickle,740,0
120,geometric_codebook.pickle,832,0
121,filep_01_1000_codebook.pickle,746,0
121,geometric_codebook.pickle,831,0
122,filep_01_1000_codebook.pickle,744,0
122,geometric_codebook.pickle,831,0
123,filep_01_1000_codebook.pickle,745,0
123,geometric_codebook.pickle,830,0
124,filep_01_1000_codebook.pickle,731,0
124,geometric_codebook.pickle,829,0
125,filep_01_1000_codebook.pickle,739,0
125,geometric_codebook.pickle,830,0
126,filep_01_1000_codebook.pickle,738,0
126,geometric_codebook.pickle,830,0
127,filep_01_1000_codebook.pickle,744,0
127,geometric_codebook.pickle,830,0
128,filep_01_1000_codebook.pickle,719,0
128,geometric_codebook.pickle,831,0
129,filep_01_1000_codebook.pickle,740,0
129,geometric_codebook.pickle,830,0
130,filep_01_1000_codebook.pickle,743,0
130,geometric_codebook.pickle,832,0
131,filep_01_1000_codebook.pickle,736,0
131,geometric_codebook.pickle,832,0
132,filep_01_1000_codebook.pickle,736,0
132,geometric_codebook.pickle,830,0
133,filep_01_1000_codebook.pickle,736,0
133,geometric_codebook.pickle,830,0
134,filep_01_1000_codebook.pickle,737,0
134,geometric_codebook.pickle,829,0
135,filep_01_1000_codebook.pickle,728,0
135,geometric_codebook.pickle,829,0
136,filep_01_1000_codebook.pickle,727,0
136,geometric_codebook.pickle,829,0
137,filep_01_1000_codebook.pickle,730,0
137,geometric_codebook.pickle,829,0
138,filep_01_1000_codebook.pickle,728,0
138,geometric_codebook.pickle,829,0
139,filep_01_1000_codebook.pickle,724,0
139,geometric_codebook.pickle,829,0
140,filep_01_1000_codebook.pickle,726,0
140,geometric_codebook.pickle,830,0
141,filep_01_1000_codebook.pickle,724,0
141,geometric_codebook.pickle,830,0
142,filep_01_1000_codebook.pickle,722,0
142,geometric_codebook.pickle,830,0
143,filep_01_1000_codebook.pickle,726,0
143,geometric_codebook.pickle,830,0
144,filep_01_1000_codebook.pickle,725,0
144,geometric_codebook.pickle,830,0
145,filep_01_1000_codebook.pickle,730,0
145,geometric_codebook.pickle,830,0
